1;2;3;4;5;67
1255000;SPLog;SPLog Standard;SP;SPC;15
1256110;SPLog;SPLog Standard;SP;SPC;15
1257000;SPLog;SPLog Standard;SP;SPC;15
1257020;SPLog;SPLog Standard;SP;SPC;15
1257040;SPLog;SPLog Standard;SP;SPC;15
1257050;SPLog;SPLog Standard;SP;SPC;15
1257100;SPLog;SPLog Standard;SP;SPC;15
1258000;SPLog;SPLog Standard;SP;SPC;15
1258001;SPLog;SPLog Standard;SP;SPC;15
1258010;SPLog;SPLog Standard;SP;SPC;15
1258011;SPLog;SPLog Standard;SP;SPC;15
1258020;SPLog;SPLog Standard;SP;SPC;15
1258901;SPLog;SPLog Standard;SP;SPC;15
1259000;SPLog;SPLog Standard;SP;SPC;15
1259010;SPLog;SPLog Standard;SP;SPC;15
1259020;SPLog;SPLog Standard;SP;SPC;15
1259040;SPLog;SPLog Standard;SP;SPC;15
1260000;SPLog;SPLog Standard;SP;SPC;15
1301000;SPLog;SPLog Standard;SP;SPC;15
1301100;SPLog;SPLog Standard;SP;SPC;15
1301903;SPLog;SPLog Standard;SP;SPC;15
1302001;SPLog;SPLog Standard;SP;SPC;15
1302010;SPLog;SPLog Standard;SP;SPC;15
1302902;SPLog;SPLog Standard;SP;SPC;15
1303000;SPLog;SPLog Standard;SP;SPC;15
1303001;SPLog;SPLog Standard;SP;SPC;15
1303040;SPLog;SPLog Standard;SP;SPC;15
1303060;SPLog;SPLog Standard;SP;SPC;15
1303902;SPLog;SPLog Standard;SP;SPC;15
1304000;SPLog;SPLog Standard;SP;SPC;15
1304001;SPLog;SPLog Standard;SP;SPC;15
1305000;SPLog;SPLog Standard;SP;SPC;15
1305100;SPLog;SPLog Standard;SP;SPC;15
1306000;SPLog;SPLog Standard;SP;SPC;15
1306001;SPLog;SPLog Standard;SP;SPC;15
1306010;SPLog;SPLog Standard;SP;SPC;15
1306020;SPLog;SPLog Standard;SP;SPC;15
1306030;SPLog;SPLog Standard;SP;SPC;15
1307000;SPLog;SPLog Standard;SP;SPC;15
1307001;SPLog;SPLog Standard;SP;SPC;15
1307002;SPLog;SPLog Standard;SP;SPC;15
1307011;SPLog;SPLog Standard;SP;SPC;15
1307012;SPLog;SPLog Standard;SP;SPC;15
1307014;SPLog;SPLog Standard;SP;SPC;15
1307903;SPLog;SPLog Standard;SP;SPC;15
1307910;SPLog;SPLog Standard;SP;SPC;15
1307970;SPLog;SPLog Standard;SP;SPC;15
1308000;SPLog;SPLog Standard;SP;SPC;15
1308020;SPLog;SPLog Standard;SP;SPC;15
1308030;SPLog;SPLog Standard;SP;SPC;15
1308050;SPLog;SPLog Standard;SP;SPC;15
1308070;SPLog;SPLog Standard;SP;SPC;15
1309000;SPLog;SPLog Standard;SP;SPC;15
1309010;SPLog;SPLog Standard;SP;SPC;15
1309020;SPLog;SPLog Standard;SP;SPC;15
1309030;SPLog;SPLog Standard;SP;SPC;15
1309904;SPLog;SPLog Standard;SP;SPC;15
1309970;SPLog;SPLog Standard;SP;SPC;15
1310000;SPLog;SPLog Standard;SP;SPC;15
1310100;SPLog;SPLog Standard;SP;SPC;15
1310300;SPLog;SPLog Standard;SP;SPC;15
1310928;SPLog;SPLog Standard;SP;SPC;15
1311000;SPLog;SPLog Standard;SP;SPC;15
1311100;SPLog;SPLog Standard;SP;SPC;15
1311200;SPLog;SPLog Standard;SP;SPC;15
1311300;SPLog;SPLog Standard;SP;SPC;15
1311905;SPLog;SPLog Standard;SP;SPC;15
1311908;SPLog;SPLog Standard;SP;SPC;15
1311913;SPLog;SPLog Standard;SP;SPC;15
1312000;SPLog;SPLog Standard;SP;SPC;15
1312001;SPLog;SPLog Standard;SP;SPC;15
1312010;SPLog;SPLog Standard;SP;SPC;15
1313000;SPLog;SPLog Standard;SP;SPC;15
1313001;SPLog;SPLog Standard;SP;SPC;15
1313020;SPLog;SPLog Standard;SP;SPC;15
1314000;SPLog;SPLog Standard;SP;SPC;15
1314001;SPLog;SPLog Standard;SP;SPC;15
