70673311; Jadlog; CO; DF; BRASILIA; Capital; 3; 13,15
32675436; Jadlog; SE; MG; BETIM; Capital; 3; 12,51
96020045; Jadlog; S; RS; PELOTAS; Capital; 3; 12,83
6013030; Jadlog; SE; SP; OSASCO; Capital; 2; 12,51
87501160; Jadlog; S; PR; UMUARAMA; Capital; 3; 12,51
1409000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
89255600; Jadlog; S; SC; JARAGUA DO SUL; Capital; 2; 12,44
16203029; Jadlog; SE; SP; BIRIGUI; Capital; 2; 12,51
13844400; Jadlog; SE; SP; MOGI GUACU; Capital; 3; 12,51
65075692; Jadlog; NE; MA; SAO LUIS; Capital; 8; 13,55
60810165; Jadlog; NE; CE; FORTALEZA; Capital; 7; 14,42
1123001; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
14021677; Jadlog; SE; SP; RIBEIRAO PRETO; Capital; 2; 12,51
35534000; Jadlog; SE; MG; CARMOPOLIS DE MINAS; Interior; 4; 41,37
6422120; Jadlog; SE; SP; BARUERI; Capital; 2; 12,51
25530670; Jadlog; SE; RJ; SAO JOAO DE MERITI; Capital; 3; 12,51
90480200; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
21341460; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
5735030; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
95020450; Jadlog; S; RS; CAXIAS DO SUL; Capital; 3; 12,83
75640000; Jadlog; CO; GO; PIRACANJUBA; Interior; 6; 46,35
4937200; Jadlog; SE; SP; SAO PAULO; Capital; 3; 12,51
35164033; Jadlog; SE; MG; IPATINGA; Capital; 3; 12,51
33115430; Jadlog; SE; MG; SANTA LUZIA; Capital; 3; 12,51
70757070; Jadlog; CO; DF; BRASILIA; Capital; 2; 13,15
4111000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
85170000; Jadlog; S; PR; PINHAO; Interior; 6; 41,37
4030000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
4458150; Jadlog; SE; SP; SAO PAULO; Capital; 3; 12,51
30310020; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
80040280; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
1415000; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
66670440; Jadlog; N; PA; BELEM; Capital; 6; 13,55
17017336; Jadlog; SE; SP; BAURU; Capital; 2; 12,51
4645100; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
86010628; Jadlog; S; PR; LONDRINA; Capital; 2; 12,51
1427002; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
20510060; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
87020230; Jadlog; S; PR; MARINGA; Capital; 2; 12,51
78075510; Jadlog; CO; MT; CUIABA; Capital; 10; 13,71
46740000; Jadlog; NE; BA; BONINAL; Interior; 9; 58,73
21715000; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 3; 12,51
13218320; Jadlog; SE; SP; JUNDIAI; Capital; 2; 12,51
53431470; Jadlog; NE; PE; PAULISTA; Capital; 7; 13,78
74063020; Jadlog; CO; GO; GOIANIA; Capital; 2; 13,15
5727230; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
14401298; Jadlog; SE; SP; FRANCA; Capital; 2; 12,51
80520070; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
1503010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
22411000; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
84050230; Jadlog; S; PR; PONTA GROSSA; Capital; 2; 12,51
83407060; Jadlog; S; PR; COLOMBO; Capital; 4; 12,51
38610000; Jadlog; SE; MG; UNAI; Interior; 7; 41,37
17012060; Jadlog; SE; SP; BAURU; Capital; 2; 12,51
90440170; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
21041170; Jadlog; SE; RJ; RIO DE JANEIRO; Capital; 2; 12,51
30310070; Jadlog; SE; MG; BELO HORIZONTE; Capital; 2; 12,51
12060400; Jadlog; SE; SP; TAUBATE; Capital; 2; 12,51
48400000; Jadlog; NE; BA; RIBEIRA DO POMBAL; Interior; 12; 58,73
40050001; Jadlog; NE; BA; SALVADOR; Capital; 7; 13,47
45605450; Jadlog; NE; BA; ITABUNA; Capital; 8; 13,47
1332010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
13013160; Jadlog; SE; SP; CAMPINAS; Capital; 2; 12,51
18070631; Jadlog; SE; SP; SOROCABA; Capital; 2; 12,51
4560001; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
96400006; Jadlog; S; RS; BAGE; Capital; 3; 12,83
58755000; Jadlog; NE; PB; PRINCESA ISABEL; Interior; 14; 47,3
66085823; Jadlog; N; PA; BELEM; Capital; 6; 13,55
91750200; Jadlog; S; RS; PORTO ALEGRE; Capital; 2; 12,83
81520550; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
1155040; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
28950000; Jadlog; SE; RJ; ARMACAO DOS BUZIOS; Interior; 5; 41,37
28026080; Jadlog; SE; RJ; CAMPOS DOS GOYTACAZES; Capital; 3; 12,51
96010770; Jadlog; S; RS; PELOTAS; Capital; 3; 12,83
97015121; Jadlog; S; RS; SANTA MARIA; Capital; 3; 12,83
80540080; Jadlog; S; PR; CURITIBA; Capital; 2; 12,51
3185010; Jadlog; SE; SP; SAO PAULO; Capital; 2; 12,51
94170000; Jadlog; S; RS; GRAVATAI; Capital; 3; 12,83
